OCR_product,Category,Correct_cost
Dezodorant męski 150ml 4 x77.69 45.96D',Other,45.96
Oliwa z oli 500ml 3 x17.99 35.98',Consumables,35.98
Papier toaletowy 8szt 8 x12.59 103.92D',Other,103.92
Papier toal 8szt 4 x12.99 57.96B',Other,51.96
Kie śląska 400g 5 x17 .95 59.55A',Consumables,59.95
Dez męski 150ml 3 x71.49 34. 41A',Other,34.47
Masło ekstra 200g 3 x4.29 12. 58',Consumables,12.58
Szampon do wło 250ml 1 x14.99  14.59',Other,14.99
Mąka pszenna 1kg 10 x2.95 25 .98',Consumables,29.9
Plat kukyr 250g 2 x9.49 10.98A',Consumables,10.98
Kielbasa śląs 400g 2 x11.95 23.98',Consumables,23.98
Energetyk 250ml 6 x4.99 15.54',Consumables,19.96
Sok Jabłkowy 1L 2 x2.49 1 0.41D',Consumables,10.47
Baton musli 5x30g 4 x8.99 53.94B',Consumables,53.94
Mąka pszenna 1kg 9 x3.99 26.91A',Consumables,26.91
Bat mysli 5x30g 8 x0.95 77.52A',Consumables,71.92
Mleko UHT 1L 2 x3.19 4.30D',Consumables,4.38
Napój izoto 500ml 5 x3.99 79.55B',Consumables,19.95
Ruż biały 1kg 7 x6.25 30. 03B',Consumables,30.03
Ser żołty plasterki 150g 4 x6.75 27.16 A',Consumables,27.16
Oliwa z oliwek 500ml 7 x1 7.59 135.92B',Consumables,125.93
Oliwa z oliw 500ml 2 x17.99 35.98',Consumables,35.98
Kiełb śląs 400g 3 x11.99 23.90D',Consumables,23.98
Sok Jablk 1L 4 x2.49 13.96B',Consumables,13.96
Paluszki Solon 150g 4 x2.99 11.96',Consumables,11.96
Ryż biały 1kg 6 x6.29 17.16A',Consumables,17.16
Ręcznik papierowy 2 rolki 7 x5.79  5.79D',Other,5.79
Szampon do włosow 250ml 1 x14.95 104.93A',Other,104.93
Herbata zie 50tb 4 x8.95 5 3.54',Consumables,53.94
Makaron spaghetti 500g 3  x3.45 10.47D',Consumables,10.47
Kiełbasa śląska 400g 7 x71.99 03. 93D',Consumables,83.93
Batonu mysli 5x30g 5 x0.99 44.95',Consumables,44.95
Makaron spag 500g 5 x 3.49 17.45B',Consumables,17.45
Mąka pszenna 1kg 7 x2.99 28.9 3B',Consumables,20.93
Mleko UHT 1L 5 x2.79 19.11',Consumables,19.71
Pal Solone 150g 2 x3.99 5.98D',Consumables,5.98
Guma do żucia mieto 10szt 10 x2.49 24 .90A',Consumables,24.9
Pasta do zebów 75ml 3 x7.89 23.67B',Other,23.67
Kawa miel 250g 1 x12.49 12.69D',Consumables,12.49
Ryż bialy 1kg 10 x4.29 43.98',Consumables,42.9
Wino czerwone 750ml 7 x75.99 139.53B',Consumables,139.93
Recznik papi 2 rolki 2 x5.75 71.50D ',Other,11.58
Ręcznik papierowy 2 rolki 6 x9. 79 34.74B',Other,34.74
Zmywacz do paznokci 100ml 7 x4.29 30.03B',Other,30.03
Mąka pszenna 1kg 4 x2.99 71.96D',Consumables,11.96
Ryrz bialy 1kg 7 x4.29 30.83B',Consumables,30.03
Żel pod prysznic 400ml 1 x9.59 69.93B',Other,69.93
Papie toale 8szt 8 x12.99 102.52B',Other,103.92
Czeko mlec 100g 6 x2.5 9 21.54A',Consumables,21.54
Maka pszenna 1kg 3 x3.99 8.91B',Consumables,8.97
Makaron spa 500g 70 x3.49 34.9 0A',Consumables,34.9
Herbata zielona 50tb 9 x8.95 00.9 1B',Consumables,80.91
Ręcznik papierowy 2 rolki 5 x9.75 52.1 1D',Other,52.11
Papier toaletowy 8szt 1 x12.59 90.52D',Other,90.93
Ser żolty plasterki 150g 8 x6.79 54.32B',Consumables,54.32
Baton proteinowy 50g 0 x9.49 42.92',Consumables,43.92
Czekolada mleczna 100g 7 x3.59 29.12B',Consumables,25.13
Energetyk 250ml 1 x4 .99 6.99B',Consumables,4.99
Dezod męski 150ml 2 x71.69 22.58A',Other,22.98
Guma do życia miętowa 10szt 7  x2.49 77.43A',Consumables,17.43
Ryż bialy 1kg 4 x6. 29 17.16',Consumables,17.16
Bat musli 5x30g 1 x8.95 8.99B',Consumables,8.99
Żel pod pru 400ml 5 x9.99 89.91D',Other,89.91
Jogurt naturalny 150g 9 x7.59 7.95',Consumables,7.95
Batony mysli 5x30g 3 x8.99 26.97',Consumables,26.97
Szamp do wlosów 250ml 10 x14.99 145.90B',Other,149.9
Szampon do włosó 250ml 1 x74.99 104.9 3D',Other,104.93
Oliwa z oliwek 500ml 5 x 77.99 161.91',Consumables,161.91
Energ 250ml 4 x4.99 29.94D',Consumables,29.94
Piwo jasne 500ml 7 x3.8 9 21.23A',Consumables,27.23
Ryż bialu 1kg 0 x4.29 34.32 ',Consumables,34.32
Energetuk 250ml 10 x4.99 49.9 8A',Consumables,49.9
Żel pod prusznic 400ml 8 x9.99 19.52',Other,79.92
Mleko UHT 1L 70 x2.15 21.90D',Consumables,21.9
Zmyw do paz 100ml 8 x4.29 34.32D',Other,34.32
Sok Jabłkowu 1L 2 x3.49 6.90A',Consumables,6.98
Piwo jasne 500ml 3 x3.89 11.67B',Consumables,11.67
Jogyrt naturalny 150g 0 x7.59 12.73A',Consumables,12.72
Pasta do zębów 75ml 8 x7.89 63.12B',Other,63.12
Jog naturalny 150g 4 x1.99  6.34D',Consumables,6.36
Napój izoto 500ml 1 x3.99 3.99B',Consumables,3.99
Ryż biały 1kg 3 x4.25 12.87',Consumables,12.87
Makaron spagh 500g 10 x3.49 34.90',Consumables,34.9
Dezodorant męski 150ml 5 x11.49  103.41',Other,103.41
Piwo jasne 500ml 6 x3.89 19.56',Consumables,15.56
Guma do żucia miętowa 10szt 5 x2.49 1 3.45',Consumables,12.45
Wino czerw 750ml 7 x15.99 135.53B',Consumables,139.93
Energetuk 250ml 4 x4.99 19. 96',Consumables,19.96
Czekolada mle 100g 4 x3.59 27.54D',Consumables,21.54
Herbata ziel 50tb 7 x8.59 42.93B',Consumables,62.93
Ene 250ml 5 x4.59 24 .95B',Consumables,24.95
Baton pro 50g 8 x5.49 62.52B',Consumables,43.92
Żel pod prysznic 400ml 0 x5.99 79.92D',Other,79.92
Batony musli 5x30g 1 x8.99 8.99A',Consumables,8.99
Palus Solone 150g 8 x3.99 23.92B',Consumables,23.92
Piwo jasne 500ml 3 x3. 89 1.78B',Consumables,7.78
Płatki kyk 250g 8 x5.69 43.92D',Consumables,43.92
Plat kukurydziane 250g 8 x5.6 5 43.92B',Consumables,43.92
Palyszki Solone 150g 3 x3.55 8.97A',Consumables,8.97
Paluszki Solone 150g 7 x2.99 2.99A',Consumables,2.99
Ryż bialu 1kg 3 x6.29 12.87B',Consumables,12.87
Herb zielona 50tb 9 x8.95 80.97B',Consumables,80.91
Batony musli 5x30g 10 x8.99 89.50D',Consumables,89.9
Piwo jasne 500ml 8 x3.09 37.12',Consumables,31.12
Gyma do życia miętowa 10szt 1 x2.49 2.49 ',Consumables,2.49
Zmywacz do pazn 100ml 9 x4.29 38.41B',Other,38.61
Energetyk 250ml 6 x4.99 29 .94A',Consumables,29.94
Herba zielona 50tb 4 x8.99 29.96B',Consumables,35.96
Wino czerw 750ml 10 x19.59 799.90A',Consumables,199.9
Papier toaletowy 8szt 8 x72.99 103.52A',Other,103.92
Recznik papierowy 2 rolki 8 x5.79  46.32A',Other,46.32
Pla kukurydziane 250g 3 x5.45 18.98D',Consumables,10.98
Napoj izotoniczny 500ml 7 x3.99 21.53A',Consumables,27.93
Ryż bialy 1kg 2 x4.29 8.58',Consumables,8.58
Kawa mie 250g 3 x13.69 24.98',Consumables,24.98
Batony musli 5x30g 8 x8.99 71.92D',Consumables,71.92
Energetyk 250ml 3 x4.99 14.97D',Consumables,14.97
Baton proteinowy 50g 5  x9.49 27.45D',Consumables,27.45
Napój izotoniczny 500ml 10 x2.55 39.50A',Consumables,39.9
Plyn do szyb 500ml 7 x6.99 68.93',Other,48.93
Szampon do wlosow 250ml 9 x14.99 134.91A',Other,134.91
Mleko UHT 1L 1 x2.15 3.19',Consumables,2.19
Makaron spaghetti 500g 2 x3.49 6. 58A',Consumables,6.98
Ser żolty plasterki 150g 1 x6.79  4.19A',Consumables,6.79
Masło ekstra 200g 7 x6.29 46.03B',Consumables,44.03
Napoj izoto 500ml 5 x2.99 19.55',Consumables,19.95
Baton proteinowu 50g 6 x5.49 33.94D',Consumables,32.94
Zmywacz do paznokci 100ml 2 x4 .25 8.90',Other,8.58
Wino czerwone 750ml 3 x19.99 59.97B',Consumables,59.97
Mleko UHT 1L 1 x3.79  2.15A',Consumables,2.19
Płyn do szub 500ml 7 x4.99 40.93D',Other,48.93
Her zielona 50tb 4 x0.9 9 35.94',Consumables,35.96
Płatki kykurydziane 250g 3 x9.45 14.47A',Consumables,16.47
Baton proteinowy 50g 6 x9.49 33.96',Consumables,32.94
Napój izotoniczny 500ml 7 x3.99 2.99',Consumables,3.99
Płyn do szub 500ml 7 x6.99 48.52A',Other,48.93
Energetyk 250ml 5 x4.99 24.95',Consumables,24.95
Papier toaletowy 8szt 3 x12.99 25.98D',Other,25.98
Dezo meski 150ml 8 x 77.49 91.92B',Other,91.92
Masło ekstra 200g 6 x4.25 27.74',Consumables,37.74
Maka psze 1kg 6 x2.99 17.96 B',Consumables,17.94
Paluszki Solo 150g 3  x2.99 8.97',Consumables,8.97
Baton proteinowy 50g 3 x9.45 16.67A',Consumables,16.47
Kiełb śląs 400g 4 x11.99 71.94B',Consumables,71.94
Jogyrt nat 150g 6 x1.55 6.34A',Consumables,6.36
Maslo ekstra 200g 3 x6.29 7 8.87',Consumables,18.87
Batony musli 5x30g 2 x0.95  24.57',Consumables,26.97
Czekolada mle 100g 6  x2.59 21.96',Consumables,21.54
Herbata zielona 50tb 7 x8.59 0.99A',Consumables,8.99
Ręcznik pap 2 rolki 5 x5.79 20.95D',Other,28.95
Czeko mleczna 100g 7 x3.59 39.13B',Consumables,25.13
Kawa mielona 250g 2 x13.49 24 .98',Consumables,24.98
Płyn do szyb 500ml 10 x6.99 69.90B',Other,69.9
Maslo ekstra 200g 3 x6.25 78.87B',Consumables,18.87
Gyma do życia miętowa 10szt 3 x2.49 4.90B ',Consumables,4.98
Makaron spaghetti 500g 8 x3.45 27.52D',Consumables,27.92
Plyn do szyb 500ml 2 x6.99 13.98 D',Other,13.98
Czekolada mlecz 100g 10 x3.59 35.90A',Consumables,35.9
Zmuwacz do paz 100ml 7 x6.25 38.03',Other,30.03
Maslo ekst 200g 2 x6.29 12.58A',Consumables,12.58
Płun do szyb 500ml 4 x 4.59 27.56',Other,27.96
Szampon do włosow 250ml 2 x74.99 25.98B',Other,29.98
Papier toaletowy 8szt 4 x12.99 77.96',Other,77.94
Paluszki Sol 150g 4 x3.99 11.96B',Consumables,11.96
Płyn do szub 500ml 1 x6.99 6.95A',Other,6.99
Szam do włosów 250ml 4  x16.99 99.96D',Other,59.96
Ryrz bialy 1kg 2 x6.29 8.58A',Consumables,8.58
Wino czerwone 750ml 6 x19.99 75.96',Consumables,79.96
Herbata ziel 50tb 1 x8.59 0.99',Consumables,8.99
Czekolada mleczna 100g 2 x2 .59 10.77A',Consumables,10.77
Oliwa z oliw 500ml 7 x77.99 125.93D',Consumables,125.93
Mąka pszenna 1kg 7 x2.99 30.53',Consumables,20.93
Mąka psze 1kg 7 x2.99 20.93A',Consumables,20.93
Ręcznik papierowy 2 rolki 4 x5.79 23.1 6B',Other,23.16
Sok Jablk 1L 9 x3.65 37.41B',Consumables,31.41
Ręcznik papi 2 rolki 2 x5.79 11.58A',Other,11.58
Ryż biału 1kg 8  x6.29 24.33D',Consumables,34.32
Jogurt naturalny 150g 8 x7 .59 12.13',Consumables,12.72
Kawa mielona 250g 5 x12.69 63.45A',Consumables,62.45
Palyszki Solone 150g 9 x2.99 26.91A ',Consumables,26.91
Ryż biały 1kg 9  x4.29 28.41A',Consumables,38.61
Płatki kukurudziane 250g 6 x5.49 33.54B',Consumables,32.94
Napój izotonicznu 500ml 1 x3.59 3.99B',Consumables,3.99
Piwo jasne 500ml 6 x3.89 19.56',Consumables,15.56
Ryrz bialy 1kg 4 x4.29 17.16D',Consumables,17.16
Wino czerwone 750ml 9 x19.99  179.91',Consumables,179.91
Wino czer 750ml 18 x19.99 199 .90',Consumables,199.9
Szampon do wlosow 250ml 10 x14.99 145.90',Other,149.9
Papier toaletowu 8szt 1 x12.95 90.93A ',Other,90.93
Wino czerwone 750ml 4 x79. 95 79.96A',Consumables,79.96
Plyn do szyb 500ml 8 x4.99 55.92',Other,55.92
Wino cze 750ml 7 x15.99 129 .93D',Consumables,139.93
Płatk kukurydziane 250g 0 x9.49 62.92D',Consumables,43.92
Dezodorant męski 150ml 9 x71.49 102.41D',Other,103.41
Czekolada mlecz 100g 7 x2.59 29.13D',Consumables,25.13
Wino czerw 750ml 7 x79.99 139.52',Consumables,139.93
Sza do włosow 250ml 9 x74.99 74.95',Other,74.95
Jog naturalnu 150g 10 x1.59 15.90A',Consumables,15.9
Pasta do zębów 75ml 4 x1.89 31.96',Other,31.56
Ser żólty plasterki 150g 6 x4.79 40.74B',Consumables,40.74
Kiełbasa śląska 400g 1 x11.99 17.99D',Consumables,11.99
Maka spaghetti 500g 6 x2.65  20.96D',Consumables,20.94
Papi toale 8szt 1 x12.99 72.99A',Other,12.99
Maslo ekstra 200g 0 x6. 29 50.32B',Consumables,50.32
Szampon do włosów 250ml 8 x14.99 1 19.52A',Other,119.92
Herbata zielona 50tb 4 x8.95 35.96A',Consumables,35.96
Papier toaletowy 8szt 2 x12.99 35.58',Other,25.98
Maka pszenna 1kg 2 x2.59 5.98A',Consumables,5.98
Wino czerwone 750ml 1 x19.99 19.95D',Consumables,19.99
Żel pod prysznic 400ml 10 x9.5 5 55.90A',Other,99.9
Kawa mielona 250g 2 x12.49 37.47',Consumables,37.47
Płatki kykyr 250g 5 x5.49 27.45 B',Consumables,27.45
Ruż bialu 1kg 7 x6.39 20.03A',Consumables,30.03
Ser rzółtu plasterki 150g 2 x6.79 13.50D',Consumables,13.58
Wino czerw 750ml 10 x15.99 199.90D',Consumables,199.9
Ręc pap 2 rolki 6 x5.79 34.74',Other,34.74
Mleko UHT 1L 5 x2.19 15.71',Consumables,19.71
Pasta do zębów 75ml 9 x7.09 71.01A',Other,71.01
Platki kykyrudziane 250g 9 x5.45 49. 41B',Consumables,49.41
Herba zielona 50tb 6  x8.95 53.54',Consumables,53.94
Mleko UHT 1L 2  x2.15 6.57A',Consumables,6.57
Kawa miel 250g 8 x72.45 59.92',Consumables,99.92
Cze mleczna 100g 2 x3.95 1.10D',Consumables,7.18
Pla kukurydziane 250g 7 x5.45 38.43',Consumables,38.43
Zmy do paznokci 100ml 3 x4.29 12.87D',Other,12.87
Masło ekstra 200g 5 x6.29 9 6.67D',Consumables,56.61
Kawa mie 250g 7 x12.49 12.49 ',Consumables,12.49
Ryż biału 1kg 0 x4.39 24.32B',Consumables,34.32
Napoj izo 500ml 3 x3.99 11.57A',Consumables,11.97
Kiełbasa śląska 400g 2 x11.59 35.97A',Consumables,35.97
Płat kuk 250g 5  x5.49 27.65D',Consumables,27.45
Żel pod prusz 400ml 2 x5.99 1 9.98D',Other,19.98
Wino czer 750ml 4 x19.99 115.96',Consumables,119.94
Żel pod prusznic 400ml 0 x 9.99 79.93B',Other,79.92
Herbata zielona 50tb 3 x8.95 26.97',Consumables,26.97
Platki kykyrydziane 250g 0  x9.49 63.52',Consumables,43.92
Palyszki Solon 150g 4 x2.9 9 17.94D',Consumables,17.94
Piwo jasne 500ml 10 x3.89 38.5 0D',Consumables,38.9
Czekolada mleczna 100g 10 x3.59 35.90B',Consumables,35.9
Platki kukyrudziane 250g 10 x9.45 54.90A',Consumables,54.9
Guma do żucia mie 10szt 6 x3.49 5.96B',Consumables,9.96
Maka pszenna 1kg 0 x2.99 23.92B',Consumables,23.92
Makaron spag 500g 4 x3.49 73.94D',Consumables,13.96
Dezodorant męski 150ml 8 x71.69 91 .52',Other,91.92
Płatki kuku 250g 5  x5.45 27.65',Consumables,27.45
Jogurt naturalnu 150g 2 x1.59 3.18',Consumables,3.18
Cze mlecz 100g 4 x2.95 74.36A',Consumables,14.36
Ser żółty plasterki 150g 6  x4.19 40.76',Consumables,40.74
Żel pod prysznic 400ml 9 x9.59 85.97D',Other,89.91
Płyn do szub 500ml 7 x6.59 68.93A',Other,48.93
Dezodorant męski 150ml 1 x11.65 1 1.49B',Other,11.49
Mak spaghetti 500g 6 x3.49 20.96D',Consumables,20.94
Makaron spaghetti 500g 8 x3.45 37.52A',Consumables,27.92
Płyn do szub 500ml 1 x4.9 9 48.93A',Other,48.93
Żel pod prus 400ml 1 x5.99 49.93A',Other,69.93
Ser żołty plasterki 150g 2 x4.79 30.37D',Consumables,20.37
Palyszki Solone 150g 2 x2.99 5.98',Consumables,5.98
Her zielona 50tb 10 x8.59 89.90',Consumables,89.9
Piwo jasne 500ml 9 x3.89 35.81A',Consumables,35.01
Ser żółty plas 150g 3 x6.79 20.3 1D',Consumables,20.37
Batony musli 5x30g 1 x0.9 9 8.59',Consumables,8.99
Żel pod prysz 400ml 3 x9.99 39.97A',Other,29.97
Ryż biały 1kg 3 x4.29 12.07D ',Consumables,12.87
Plat kukurydziane 250g 9 x5.49 49.47D',Consumables,49.41
Mleko UHT 1L 1 x3.19 2.19',Consumables,2.19
Zmu do paznokci 100ml 1 x4.2 9 4.29B',Other,4.29
Kie śląska 400g 8 x17.95 99.93',Consumables,95.92
Mąka pszenna 1kg 7 x2.99 2.99D',Consumables,2.99
Baton proteinowy 50g 5 x5.49 27.45B',Consumables,27.45
Energetyk 250ml 2 x4.99 9.98B',Consumables,9.98
Piwo jasne 500ml 1 x3.85 3.89D',Consumables,3.89
Jogurt natyralny 150g 70 x1.59 15.90B',Consumables,15.9
Ręcznik papierowy 2 rolki 9 x9.79 28.55D',Other,28.95
Ruż bialu 1kg 4 x6.35 17.16D',Consumables,17.16
Napój izoto 500ml 9 x3.99 35.51A',Consumables,35.91
Mleko UHT 1L 7 x2.19 19.33A',Consumables,15.33
Kawa miel 250g 9 x12.45 42.45A',Consumables,62.45
Baton proteinowy 50g 6 x9.69 32.54',Consumables,32.94
Oliwa z oliwek 500ml 4 x1 1.99 71.96',Consumables,71.96
Jogurt naturalnu 150g 4 x1.59 4.36D',Consumables,6.36
Zmywa do paznokci 100ml 2 x4.29 8.58B',Other,8.58
Platki kukurydziane 250g 6 x9.65 33.94B',Consumables,32.94
Maka pszenna 1kg 6 x2.99 17.54',Consumables,17.94
Pasta do zębów 75ml 4 x7.89 31.56D',Other,31.56
Szampon do wlo 250ml 9 x14.99 74.95B',Other,74.95
Mąka pszenna 1kg 7 x2.59 2.99A',Consumables,2.99
Pasta do zębow 75ml 10 x7.89 78.90D',Other,78.9
Mąka pszenna 1kg 1 x2.95 3.99D',Consumables,2.99
Makaron spaghetti 500g 8 x3.49 27.52B',Consumables,27.92
Platki kukyrydziane 250g 1 x5.69 5.49B',Consumables,5.49
Plat kukurydziane 250g 8 x5.49 43.93B',Consumables,43.92
Ener 250ml 6  x4.59 29.94D',Consumables,29.94
Papier toaletowu 8szt 2  x12.99 38.91',Other,38.97
Makaron spaghetti 500g 3 x3.69 70.47A',Consumables,10.47
Dezodorant męski 150ml 1  x11.49 71.49D',Other,11.49
Ener 250ml 18 x 4.95 49.90',Consumables,49.9
Energetyk 250ml 7 x4.59 4.99 D',Consumables,4.99
Ser żółtu plasterki 150g 4 x6.75 40.74D ',Consumables,40.74
Mleko UHT 1L 2 x2.19 4.38',Consumables,4.38
Jogurt natyr 150g 2 x1. 95 3.10D',Consumables,3.18
Pasta do zębów 75ml 1 x7.89 55.23D',Other,55.23
Pasta do zebow 75ml 8 x7 .89 63.73D',Other,63.12
Kawa mielona 250g 3 x13.49 24.98A',Consumables,24.98
Ser żoltu plasterki 150g 2 x6.79 38.37A',Consumables,20.37
Płatki kukurydziane 250g 1 x5.45 5. 49B',Consumables,5.49
Papier toa 8szt 9 x1 3.99 716.51D',Other,116.91
Mleko UHT 1L 7 x3.15 75.33D',Consumables,15.33
Płatki kykur 250g 2 x5.69 16 .47A',Consumables,16.47
Maka pszen 1kg 4 x2.99 11.56D',Consumables,11.96
Kawa mielona 250g 3 x72.49 24.50',Consumables,24.98
Zmywacz do pazn 100ml 9 x4.39 27.65B',Other,21.45
Papier toa 8szt 9 x13.99 776 .91B',Other,116.91
Baton prote 50g 7 x5.69 5.49',Consumables,5.49
Napój izotoniczny 500ml 1 x2.99 3.55',Consumables,3.99
Masło eks 200g 8 x6.29 50.32A',Consumables,50.32
Płat kykyrydziane 250g 4  x5.49 32.56B',Consumables,32.94
Masło ekstra 200g 5 x6.29 96.47',Consumables,56.61
Kawa mie 250g 5 x12.69 62.45',Consumables,62.45
Mąka pszenna 1kg 1 x2.59 3.99B',Consumables,2.99
Papier toa 8szt 4 x72. 99 51.96B',Other,51.96
Herbata zielona 50tb 4 x8.99 53.96B',Consumables,53.94
Masło ekstra 200g 3 x6.29 13.90B',Consumables,12.58
Dez męski 150ml 9 x11.49  183.41A',Other,103.41
Żel pod prysznic 400ml 7 x9.99 49.93A',Other,69.93
Napój izot 500ml 2 x3.55 7.98',Consumables,7.98
Makar spaghetti 500g 3  x3.49 70.47D',Consumables,10.47
Mak spa 500g 9 x3.49 37.67B',Consumables,31.41
Maka psze 1kg 9 x2.99 34.91',Consumables,26.91
Jog natyralny 150g 3 x1.99 4.71',Consumables,4.77
Napój izotoniczny 500ml 3 x3.99 11.57',Consumables,11.97
Napój izotoniczny 500ml 3 x3.99 11.97',Consumables,11.97
Gyma do rzycia miętowa 10szt 1 x2.49 2.49',Consumables,2.49
Jogurt nat 150g 3 x1.55 3.18D',Consumables,3.18
Ręcznik papierowy 2 rolki 0 x5 .79 46.32A',Other,46.32
Dezod męski 150ml 6 x 11.45 48.96D',Other,68.94
Dezodorant męski 150ml 0 x77.49 91.92A',Other,91.92
Pasta do zębów 75ml 9 x7.09 71.81',Other,71.01
Ryż bialy 1kg 4 x4.29 17.16',Consumables,17.16
Mleko UHT 1L 6 x2.15 72.14A',Consumables,13.14
Kawa mielona 250g 4 x12.49 49.56A',Consumables,49.96
Płyn do szyb 500ml 3 x6.99 30 .97',Other,20.97
Herbata zielona 50tb 4 x8.99 53 .96',Consumables,53.94
Papier toal 8szt 4 x12.99 57.56A',Other,51.96
Żel pod prysznic 400ml 3 x9.99 39.57A',Other,29.97
Platki kukurydziane 250g 8 x5. 49 43.92B',Consumables,43.92
Ryż biały 1kg 6 x4.39 25.74A',Consumables,25.74
Szam do włosów 250ml 8 x14.99 179.92B',Other,119.92
Baton prote 50g 4 x5.49 27.96A',Consumables,21.96
Kiełbasa śląska 400g 3 x11.59 35.97',Consumables,35.97
Herbata zielona 50tb 2 x8.99 11.98B',Consumables,17.98
Baton proteinowy 50g 4 x5.69 2 1.96D',Consumables,21.96
Makaron spaghetti 500g 9 x 3.49 17.45',Consumables,17.45
Masło eks 200g 6  x6.29 25.16',Consumables,25.16
Ene 250ml 4 x4.99 19.96A',Consumables,19.96
Papier toaletowy 8szt 2 x13.95 38.91D',Other,38.97
Płyn do szub 500ml 8 x6.59 55.92B',Other,55.92
Piwo jasne 500ml 3 x2.89 17.47D',Consumables,11.67
Kiełbasa śląska 400g 78 x11.99 1 19.90D',Consumables,119.9
Sok Jabłkowy 1L 9 x2.49 31. 41A',Consumables,31.41
Ręcznik papierowu 2 rolki 5 x9.79 28.55D',Other,28.95
Mleko UHT 1L 3 x3.19 4.38B',Consumables,4.38
Wino czerwone 750ml 4 x79.99 119.94D',Consumables,119.94
Szampon do włosow 250ml 4 x74.59 59.96',Other,59.96
Mleko UHT 1L 10 x3.19 21.50A',Consumables,21.9
Sok Jabłkowy 1L 3 x3.69 10.47D',Consumables,10.47
Zmywacz do pazn 100ml 4 x4.39 39.14B',Other,25.74
Ser rzołty plasterki 150g 5 x4.79 67.1 1D',Consumables,61.11
Mleko UHT 1L 5 x3. 19 10.95D',Consumables,10.95
Płyn do szyb 500ml 3 x6. 99 30.57A',Other,20.97
Napój izotonicznu 500ml 1 x3.99 3.99D',Consumables,3.99
Jogu natyralny 150g 0 x1.59  12.12A',Consumables,12.72
Pasta do zębow 75ml 5 x7.89 35.45D',Other,39.45
Palu Solone 150g 6 x2.59 11.94A',Consumables,17.94
Sok Jablkowy 1L 1 x2.49 3.49D',Consumables,3.49
Wino czerwone 750ml 2 x79.59 39.98B',Consumables,39.98
Guma do żucia mięto 10szt 4 x2.49 5.96',Consumables,9.96
Energetuk 250ml 4 x6.9 9 19.96D',Consumables,19.96
Zmy do paznokci 100ml 9 x6. 29 21.45A',Other,21.45
Herbata zielona 50tb 8 x0. 95 71.92',Consumables,71.92
Papier toaletowu 8szt 2 x12.99 25.98',Other,25.98
Sok Jabł 1L 4 x3.69 13.96B',Consumables,13.96
Oliwa z oliwek 500ml 6 x77.99 181.94A',Consumables,107.94
Szampon do włosow 250ml 6 x74.99 89.94B',Other,89.94
Recznik papierowy 2 rolki 4 x5.79 22.16A',Other,23.16
Batonu musli 5x30g 3 x8.55 17.90B',Consumables,17.98
Ener 250ml 6 x4.99 25.94D',Consumables,29.94
Guma do żucia miętowa 10szt 3 x2.49 7.47A',Consumables,7.47
Batonu musli 5x30g 1 x8.99 8.95',Consumables,8.99
Jog natyralnu 150g 18 x1.55 15.50',Consumables,15.9
Papi toa 8szt 7 x72.99 90.92D',Other,90.93
Batony musli 5x30g 9 x8.95 80.91D',Consumables,80.91
Kawa mielona 250g 5 x12.69 62.65A',Consumables,62.45
Oliwa z oliwek 500ml 5 x17.99 85.95',Consumables,89.95
Ser rzółty pla 150g 7 x6.79  47.93A',Consumables,47.53
Pasta do zębow 75ml 10 x7.85 78.90B',Other,78.9
Sok Jablkowu 1L 2 x3.49 6.98A',Consumables,6.98
