img,OCR_product,Category,Correct_cost
7.jpg,"['PRY.NATKA PIETRUSZKI 6G', '550031C 1*1.55', '1.55C']",Food,1.55
7.jpg,"['PRY.OREGANO SUSZONE 8G', '606955C1*1.55', '1.55C']",Food,1.55
7.jpg,"['KOT.PIEPRZ CZARNY CALY 70G', '845594B1*5.39', '5.398']",Food,5.39
7.jpg,"['PRY.PIEPRZ CZARNY ZIARNIST.20G', '504975B 1*1.51', '1.51B']",Food,1.51
7.jpg,"['KAMIS ZIOLA PROWANSALSKIE 8G', '58928981*1.78', '1.788']",Food,1.78
7.jpg,"['KAMIS?PRZYPR.DO GYROSA 30G', '263312B1*1.78', '1.78B']",Food,1.78
7.jpg,"['PUDLISZKI KETCHUP OGNISTY 480G', '214816B1*6.47', '6.47B']",Food,6.47
7.jpg,"['PUDLISZKI KETCHUP LAGODNY 480G', '275326B1*6.47', '6.47B']",Food,6.47
7.jpg,"['PROVITUS PESTO BASILICO 160G', '86935781*7.55', '7.55B']",Food,7.55
7.jpg,"['ROLESKI SOS TRINIDAD SCOR.340G', '20620581*6.47', '6.47B']",Food,6.47
7.jpg,"['IND.MAKARON RYZYK ARRIGHI 500G', '304215C1*4.82', '4.82C']",Food,4.82
7.jpg,"['LUB.MAKARON GNIAZDA WST.400G', '642416C1*4.82', '4.82C']",Food,4.82
7.jpg,"['KRU.KISIEL OWO.LESNE KUBEK 30G', '884686C1*1.25', '1.25C']",Food,1.25
7.jpg,"['KRU.KISIEL TRUSKAWKOWY KUB.30G', '865790C1*1.25', '1.25C']",Food,1.25
7.jpg,"['MK CAFE KAWA ZIARN MEXICO 400G', '343954A1*49.19', '49.19A']",Bevarage,49.19
7.jpg,"['AXE ZEL P/P ANTIHANGOVER 400ML', '409496A1*18.44', '18.44A']",Hygiene,18.44
7.jpg,"['ZIELKO PLYN CZYSZCZ OW.LE50OML', '966390A1*15.98', '15.98A']",Hygiene,15.98
7.jpg,"['BREF KOSTKA D/WC BRYZA 2X42G', '950791A1*14.99', '14.99A']",Housing,14.99
7.jpg,"['TOPS ZEF RECZNIK PAPIER.2W300L', '960507A1*8.00', '8.00A']",Healthcare,8.00
7.jpg,"['SIATKAD/PIZZY 30CM', '432292A1*17.10', '17.10A']",Other,17.10
7.jpg,"['OSTRZAL.*OSELKA*D/NOZY/NOZYCZ', '221665A1*47.85', '47.85A']",Other,47.85
7.jpg,"['WYCISKACZ D/CZOSNKU', '41776A161.38', '61.38A']",Other,61.38
7.jpg,"['CYLINDER CO2ROZ.60L+KAUCJA', '818167A1*49.08', '49.08A']",Other,49.08
7.jpg,"['PACLAN EXPERTWORKI 60L100SZT', '44802A1*19.67', '19.67A']",Housing,19.67
7.jpg,"['KALENDARZ DZIENNYB6 BIOECO', '488995A1*28.17', '28.17A']",Other,28.17
7.jpg,"['TOPS PLYN DOSPR.ZIM.-204L', '177597A1*15.73', '15.73A']",Housing,15.73
7.jpg,"['CREAVITA WINOGRONO 300G', '47173781*49.57', '49.578']",Healthcare,49.57
7.jpg,"['KOLAGEN EXTRA MAL-TRUS.300G', '65415281*51.73', '51.738']",Healthcare,51.73
7.jpg,"['WHEY PROTEIN COL MAL CZEK 30G', '26692681*5.50', '5.508']",Food,5.50
7.jpg,"['WPC80700GCZEKOLADA', '5262281*75.49', '75.49B']",Food,75.49
10.jpg,"['SC BAGIETKASZYN/SER BK47241SZT*16.9S', '16.99B']",Food,16.99
10.jpg,"['OBNIZKA', '-11.24B']",Discount,11.24
10.jpg,"['SCKAJZERKASZYN/SERBK:47381SZT*12.99', '12.99B']",Food,12.99
10.jpg,"['OBNIZKA', '-7.248']",Discount,7.24
10.jpg,"['SC KAJZERKA MOZZARELLA/POMIDOR (B)K81671 SZT*12.99', '12.99B']",Food,12.99
10.jpg,"['OBNIZKA', '-7.248']",Discount,7.24
10.jpg,"['SC MUFFIN BLACK&WHITE100G BK:78791SZT*7.99', '7.99B']",Food,7.99
10.jpg,"['OBNIZKA', '-2.24B']",Discount,2.24
1.jpg,"['SALATKA JARZY250g-D', '1szt.x4.504.500']",Food,4.50
1.jpg,"['30G ALE PITNY 290g-D', '1szt.x3.603.600']",Food,3.60
1.jpg,"['KAJZERKA PREM 60g-D', '1szt.x0.490.490']",Food,0.49
1.jpg,"['KAJZERKA PREM60g-D', '1szt.x0.490.490']",Food,0.49
