img,OCR_product,category,Correct_cost
6.jpg,"SWIECA ZAP. 7,99F",Other,7.99
6.jpg,"24,99F LADOW.USB",Other,24.99
6.jpg,"NOTESA6 6,49F",Other,6.49
6.jpg,"DLUG.5SZT 4,29F",Other,4.29
6.jpg,"TASMA DWUSTR. 8,49F",Other,8.49
6.jpg,"UCHW.TEL.SAM 14,99F",Other,14.99
6.jpg,"LATARKA LED 29,99F",Other,29.99
6.jpg,"PLAST.RZEPY 12,99F",Other,12.99
6.jpg,"KABELHDMI 2M 39,99F",Other,39.99
6.jpg,"KART.PAMIECI 64GB 39,99F",Other,39.99
6.jpg,"PENDRIVE 32GB 29,99F",Other,29.99
6.jpg,"KYSZ BEZPRZ. 3,99F",Other,3.99
6.jpg,"KLEJS.KAB.10SZT 6,99F",Other,6.99
6.jpg,"SKRZYDL.OZDO. 2,49F",Other,2.49
6.jpg,"FILC POD MEB. 5,49F",Other,5.49
6.jpg,"REKAW.NITRYL. 2OSZT 16,99F",Other,16.99
6.jpg,"OPAK.BUBBLE 7,49F",Other,7.49
7.jpg,"W0DA K0K0 330ML 3,49F",Bevarage,3.49
7.jpg,"NAPOJ KOKOS 1L 5,99F",Bevarage,5.99
7.jpg,"S0K BRZ0SK.100%1L 4,79F",Bevarage,4.79
7.jpg,"ENERGY DRINK ZERO 5OOML 3,99F",Bevarage,3.99
7.jpg,"MATE NAP0J 330ML 6,49F",Bevarage,6.49
7.jpg,"KAWA LATTE 250ML 5,29F",Bevarage,5.29
7.jpg,"HERBATAZIEL.500ML 4,59F",Bevarage,4.59
7.jpg,"S0KBURAK100%750ML 6,99 F",Bevarage,6.99
7.jpg,"KEFIR NAT.400ML 2,69F",Bevarage,2.69
7.jpg,"J0GURT PIT.TRUSK.350ML 3,39F",Bevarage,3.39
7.jpg,"K0KTAJLPR0T.330ML 7,89F",Bevarage,7.89
7.jpg,"NAPOJ MIGDAt 1L 8,49F",Bevarage,8.49
7.jpg,"NAPOJ OWSIANY 1L 4,49F",Bevarage,4.49
7.jpg,"MUS SM00THIE 250ML 3,29F",Bevarage,3.29
7.jpg,"K0MBUCHA IMBIR 330ML 6,99F",Bevarage,6.99
7.jpg,"COLA ZERO 1L 4,99F",Bevarage,4.99
7.jpg,"TONIK PREMIUM 200ML 3,19F",Bevarage,3.19
7.jpg,"S0K GRANAT 100%1L 9,99F",Bevarage,9.99
7.jpg,"LEM0 KAKTUS 350ML 5,79F",Bevarage,5.79
7.jpg,CTDERIAREK330MI 5.69.F,Bevarage,5.69
10.jpg,"PEYN DO PODL. 9,49F",Housing,9.49
10.jpg,"PR0SZEK 2.5 KG 26,99F",Housing,26.99
10.jpg,"KAPSUEKIP/ 18,99F",Housing,18.99
10.jpg,"GABKI 1O SZT 5,99F",Housing,5.99
10.jpg,"SCIERKI 6,49F",Housing,6.49
10.jpg,"ZAROWKAE27 2,99F",Housing,2.99
10.jpg,"ZAROWKA GU1O 7,99F",Housing,7.99
1.jpg,"PIERS Z KURCZAKA 15,79 F",Food,15.79
1.jpg,"rabat - 3,00",Discount,3.00
1.jpg,"SER MOZZARELLA 4,59F",Food,4.59
1.jpg,"znizka -1,00",Discount,1.00
1.jpg,"POMIDORY KOKTAJLOWE 6,49 F",Food,6.49
1.jpg,"obnizka -0,80",Discount,0.80
1.jpg,"PIECZYWO CZOSNK. 3,99 F",Food,3.99
1.jpg,"-1,00 upust",Discount,1.00
1.jpg,"PAROWKI DROBIOWE 7,99F",Food,7.99
1.jpg,"promocja - 1,00",Discount,1.00
1.jpg,"SMIETANKA 30% 3,89 F",Food,3.89
1.jpg,"-1,00 z niz. -1,00",Discount,1.00
1.jpg,"PLATKI KUKURYDZ. 4,99F",Food,4.99
1.jpg,"rab. - 0,60",Discount,0.60
1.jpg,"HERBATA CZARNA 5,79 F",Bevarage,5.79
1.jpg,"- 1,50 znizka",Discount,1.50
1.jpg,"SLEDZIE W SMIET. 9,49F",Food,9.49
1.jpg,"obnizka -2,00",Discount,2.00
