img,OCR_product,category,Correct_cost
7.jpg,"IND.MAKARON RYZYK ARRIGHI 500G 304215C1*4.82 4.82C",Food,4.82
7.jpg,"LUB.MAKARON GNIAZDA WST.400G 642416C1*4.82 4.82C",Food,4.82
7.jpg,"KRU.KISIEL OWO.LESNE KUBEK 30G 884686C1*1.25 1.25C",Food,1.25
7.jpg,"KRU.KISIEL TRUSKAWKOWY KUB.30G 865790C1*1.25 1.25C",Food,1.25
7.jpg,"MK CAFE KAWA ZIARN MEXICO 400G 343954A1*49.19 49.19A",Bevarage,49.19
7.jpg,"AXE ZEL P/P ANTIHANGOVER 400ML 409496A1*18.44 18.44A",Healthcare,18.44
7.jpg,"ZIELKO PLYN CZYSZCZ OW.LE50OML 966390A1*15.98 15.98A",Healthcare,15.98
7.jpg,"BREF KOSTKA D/WC BRYZA 2X42G 950791A1*14.99 14.99A",Housing,14.99
7.jpg,"TOPS ZEF RECZNIK PAPIER.2W300L 960507A1*8.00 8.00A",Healthcare,8.00
7.jpg,"SIATKAD/PIZZY 30CM 432292A1*17.10 17.10A",Other,17.10
7.jpg,"OSTRZAL.*OSELKA*D/NOZY/NOZYCZ 221665A1*47.85 47.85A",Other,47.85
7.jpg,"WYCISKACZ D/CZOSNKU 41776A161.38 61.38A",Other,61.38
7.jpg,"CYLINDER CO2ROZ.60L+KAUCJA 818167A1*49.08 49.08A",Other,49.08
7.jpg,"PACLAN EXPERTWORKI 60L100SZT 44802A1*19.67 19.67A",Housing,19.67
7.jpg,"KALENDARZ DZIENNYB6 BIOECO 488995A1*28.17 28.17A",Other,28.17
7.jpg,"TOPS PLYN DOSPR.ZIM.-204L 177597A1*15.73 15.73A",Housing,15.73
7.jpg,"CREAVITA WINOGRONO 300G 47173781*49.57 49.578",Healthcare,49.57
7.jpg,"KOLAGEN EXTRA MAL-TRUS.300G 65415281*51.73 51.738",Healthcare,51.73
7.jpg,"WHEY PROTEIN COL MAL CZEK 30G 26692681*5.50 5.508",Food,5.50
7.jpg,"WPC80700GCZEKOLADA 5262281*75.49 75.49B",Food,75.49
10.jpg,"SC BAGIETKASZYN/SER BK47241SZT*16.9S 16.99B",Food,16.99
10.jpg,"OBNIZKA -11.24B",Discount,11.24
10.jpg,"SCKAJZERKASZYN/SERBK:47381SZT*12.99 12.99B",Food,12.99
10.jpg,"OBNIZKA -7.248",Discount,7.24
10.jpg,"SC KAJZERKA MOZZARELLA/POMIDOR (B)K81671 SZT*12.99 12.99B",Food,12.99
10.jpg,"OBNIZKA -7.248",Discount,7.24
10.jpg,"SC MUFFIN BLACK&WHITE100G BK:78791SZT*7.99 7.99B",Food,7.99
10.jpg,"OBNIZKA -2.24B",Discount,2.24
1.jpg,"SALATKA JARZY250g-D 1szt.x4.504.500",Food,4.50
1.jpg,"30G ALE PITNY 290g-D 1szt.x3.603.600",Food,3.60
1.jpg,"KAJZERKA PREM 60g-D 1szt.x0.490.490",Food,0.49
1.jpg,"KAJZERKA PREM60g-D 1szt.x0.490.490",Food,0.49
22.png,"REKAHICE OGRODOWE A 1x3.493,49A",Other,3.49
22.png,"KARMA D/K0TA 420G B 1x2,492,49B",Other,2.49
22.png,"KARMA D/K0TA420G B 1x2.492,49B",Other,2.49
22.png,X SALAT150G C 5w1x2.992.990,Food,2.99
14.png,"SANA ZELPODPRYAX 14.694,69A",Healthcare,4.69
14.png,BOBINI 6ABY HYPOLAX 12.9912.99A,Healthcare,12.99
14.png,"HINSTON SNACK KARBL 4x2,499.96B",Food,9.96
14.png,HINSTON ZWOCOWINBL 4x2.499.968,Food,9.96
14.png,Uuzgl.opust-7.20st.c17.16,Discount,7.20
14.png,Uuzglopust-7.20st.c17.16,Discount,7.20
14.png,HINSTON KIEEBASKIBL 3x2.497.478,Food,7.47
14.png,Uuzgl.opust-5.40st.c12.87,Discount,5.40
14.png,PEDIGREERODEOPRABL 2x4.999.988,Other,9.98
14.png,Uuzgl.opust-2.00st.c11.98,Discount,2.00
14.png,INKA NAPOJ HIGDAEEJ 1x6.596.590,Bevarage,6.59
14.png,Uuzgl.opust3.40st.c9.99,Discount,3.40
14.png,DOMOL PEYN DO PLUAX 1x8.998.99A,Other,8.99
14.png,TORBY PP.TKANY26AX 1x3.993.99A,Other,3.99
14.png,OPUST KLUB Donol ptyn do P -2.00A,Discount,2.00
16.png,"CIASTOFRANCUSKIEX 1x5.295,290",Food,5.29
16.png,MARCHEW KG 0.173.990.680,Food,0.68
16.png,CUKINIA KG 0.27x9.992.700,Food,2.70
16.png,"BELLA BULKA SZNYTKA 3x1,093.270",Food,3.27
16.png,"21EMN1AKIWCZESNE0,8652.992.59",Food,2.59
16.png,"APRYKA CZERWONAKG0.25515.994,08",Food,4.0
16.png,"EUROPIEKCHLEBREGI 1x2.792,79",Food,2.79
16.png,"BANAN KG 0,56x5,993,35",Food,3.35
16.png,BATON HILKY HAY 21 2x2.494.986,Food,4.98
16.png,"SMIETANKA PRIHO30X 1x4,594,590",Food,4.59
16.png,"PAEECZKI KUKURYDZIA 1x1,691,690",Food,1.69
16.png,BISZKOPTYAKSAMITKI 1x4.994.990,Food,4.99
16.png,"BISZKOPTY HOME RELA 1x3,593,590",Food,3.59
25.png,"JOGURT NATU 200G C 1x2,492,490",Food,2.49
25.png,"PORCJA ROSOL Z/KUR C1.286x2,192,82C",Food,2.19
25.png,"SCHAB Z KOSCIA WIE C 0.358x11,994,29C",Food,4.29
25.png,"POMIDOR KG C 0.375x13,995.250",Food,5.25
25.png,"PAROHKIBERLINK25C 1x5,495,49C",Food,5.49
25.png,"KOPYTKA 500G C 1x5,75 5,75C",Food,5.75
25.png,"SUROKIGRZESK030Cg1x2,992,990",Food,2.99
25.png,"PRZYPRAHA 25GB 1x1,59 1,59B",Food,1.59
25.png,"TYMIANEK 10G B 2x1,593,18B",Food,3.18
25.png,"OGOREK ZIEL SZT C 1x1,991,99C",Food,1.99
13.png,2534695 panasonic baterie aa 12sztzink carbon 17.95 7.95A,Other,7.95
13.png,3011147nerkow.Zienne.pikan Food wortd02318.49 8.49A,Food,8.49
13.png,2562356bison klejsekundowy 2x2g14.99 4.99A,Other,4.99
13.png,534106 office ess koszulki a4prezrocz.20szt 13.95 3.95A,Other,3.95
13.png,538622plastikowa teczka+gka a4ro2.war 13.85 3.85A,Other,3.85
13.png,638622 plastikowa teczka+gutka a4r2.war 13.85 3.854,Other,3.85
13.png,545566 lecz./dok.a47 zatr.ro7.war 11.59 1.59A,Other,1.59
13.png,514838leczka na dokunenty two-tone 11.59 1.59A,Other,1.59
13.png,545566lecz./dok.a47zatr7.roz.war11.59 1.594,Other,1.59
19.png,SUKIENKA 1x59.0059.000 1x69.069.00,Other,59.00
19.png,KOSZULA 1x69.069.0,Other,69.06
19.png,BLUZKA 1x3.943.94,Other,69.0
19.png,OPEATA HANIPULACYJNA,Other,3.94
27.png,"J0GGRECMLEK400GC 1x2,852,85",Food,2.85
27.png,"TORTILLASZPI 250G C 1x3,993,99C",Food,3.99
27.png,"KONCEN POMI0 200G C 1x2,592,59C",Food,2.59
27.png,"JOGURT BISZKOPT 12 C 3x1,313,93C",Food,3.93
27.png,"BANAN KG C 0,850x6,995,940",Food,5.94
27.png,"PIW0JASNE 4X0,5L A 1x11,6011,60A",Bevarage,11.60
27.png,"PAPRYKA CZERHONA K C 0.20016,993,400",Food,3.40
27.png,JASEKO KG C 0.620x4.492.78C,Food,2.78
27.png,"CHLEB PSZ/ZYT550G C 1x2,752,75C",Food,2.75
27.png,"FASOLAJAS 5O0G C 1x5,995,99C",Food,5.99
27.png,KIW11KGSZT.Ci112.9912990,Food,12.9
27.png,"CHALKA350GC1x3353,350",Food,3.35
27.png,"PRZYPRAWA H PL 200 B 1x3,293,29B",Food,3.29
27.png,"ERYTRYTOL1KG A 1x29,9929.99A",Food,29.99
27.png,"SEREK HIEJ200G C 1x3,993,990",Food,3.99
27.png,"SALAT JARZYN 550G C 1x5,795,790",Food,5.79
27.png,"BULKA FINTES 72G C 4x0,893,560",Food,3.56
27.png,"GRUSZKA KG C 0,350x5,992,100",Food,2.10
27.png,"SERCA Z KURCZAKA S Cs 0,672x10,997,390",Food,7.39
27.png,"BULECZ ML 400G Z C C 1x8,998,990",Food,8.99
27.png,"PAP GREEN 2OSZT WY A 2x19,5039.00A",Bevarage,39.00
24.png,0KARM-PIES/K0T1.00016.00 16.00B,Other,16.00
26.png,"MUSZTARDAFRANC18B 1x3,493,49B",Food,3.49
26.png,"OGOREK ZIEL SZT C 1x1,991,990",Food,1.99
26.png,"RYZ BIALY DLUGOZ 1 C 1 x3,99 3,99C",Food,3.99
26.png,"HAJONEZ BESK 870MLB 1x14.4914,49B",Food,14.49
26.png,ZOLADKI Z KURCZAK C 0.216x9.992.160,Food,2.16
26.png,"HATROBA ZKURCZAKC 0.166x9,991,660",Food,1.66
26.png,"PORCJA ROSOL Z/KUR C 2,128x2.495.300",Food,5.30
23.png,DEZ00DAMSKT150MLA 1X749749A,Healthcare,7.49
101.png,TRYMER HYBRYDOWY PHILIPS QP654215 X1.000*299.99 299.99A,Housing,299.99
101.png,OBNIZKA -100.00A,Discount,100.00
103.png,"Zywiec woda zr.6szt 1x10.2010,20A",Bevarage,10.20
103.png,"Mlekovita cheddar 110,9910,990",Food,10.99
103.png,"Ser gouda XXL 500g 1x159915,990",Food,15.99
103.png,"Bio napoj migdatowy E 1x6,186,180",Bevarage,6.18
103.png,"Tortilla pszennabszt 1x4,824.820",Food,4.82
103.png,"Croissant maslany27% 31,705,100",Food,5.10
103.png,Filet z kurczaka 1kg 0.99x24.9024.650,Food,24.65
103.png,"0,5146,993,590 Banany luz",Food,3.59
103.png,"Jabtka Golden D. luz 0,4544.992.270",Food,2.27
106.png,BABYOREAMEXTRASEYAX 112.9912.99,Healthcare,12.99
106.png,PLST KLUBBabydrean Extra -2.80,Discount,2.80
106.png,OREALINFAILL1BLAX 177.9977.99,Healthcare,77.99
106.png,PUS1L0realPari39.99 -38.006,Discount,38.00
106.png,ABOUITALSKRZYP EL 1x15.9915.996,Healthcare,15.99
106.png,OPUST -18.998,Discount,18.99
105.png,PRZEWCO 1.000+19.99 19.99A,Housing,19.99
105.png,PAPIER 1.000=19.99 19.99A,Housing,19.99
104.png,"SHEE Vit.Water 20% 1x3,793,790",Bevarage,3.79
104.png,"ot-dog z parowka 1x3,293,290",Food,3.29
102.png,"Reklamowkamata rec 10,790,79A",Other,10.79
102.png,"ektar cz. porzeczka 1x3,993,99C",Bevarage,3.99
102.png,"Nektarmarchw.1l 1x3,493,490",Bevarage,3.49
102.png,"Chusteczki kosm.4w 15,39539A",Healthcare,15.39
102.png,"Bio Ogorki szt. 1x5,995,990",Food,5.99
102.png,Chipsy Tortilla xxl 18.998.990,Food,8.99
102.png,"Fromelio Serek pusz 1x3,993.990",Food,3.99
102.png,"Chleb stonecznikowy 1x4,164,16C",Food,4.16
